Description,Price,ModleName,Carrier,Brand,FormFactor,Memory,OperatingSystem,Color,Cellular,SimCount,Year,AdditionalComponents,SellerStore,StoreLink,ProductLink
"Unlocked Cell Phone, P5-F17pro Android Smartphone, 5.75-inch IPS Full-Screen，1GB RAM 8GB ROM，Front and Rear Cameras，Only Supports The SIM Card Frequency Band of 3GWCDMA (850/2100MHZ) (Black)",$59.99,P5,T-Mobile,Aderroo,Smartphone,8 GB,Android,Black,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A04793153LKO9P00LX30H&url=%2FP5-F17pro-Smartphone-5-75-inch-Full-Screen%25EF%25BC%258C1GB-Cameras%25EF%25BC%258COnly%2Fdp%2FB091T63JNH%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080927%26sr%3D8-65-spons%26psc%3D1&qualifier=1646080927&id=8381932546244275&widgetName=sp_atf_next
"Jethro Mobile $100 Phone Plan for 365 Days - Unlimited Talk and Text and No Data, Perfect for Senior Cell Phones, (SIM Card Kit Included)",$100.00,,,Jethro Trading Ltd.,,,,,LTE,,,,Jethro Trading Ltd. Store,https://www.amazon.com/stores/VisittheJethrophoneandplan/page/797CC9AE-1417-4736-88F0-E0FC759B6302?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A08654993QS5X497TTJF&url=%2FJethro-Mobile-Phone-Plan-Days%2Fdp%2FB093ZCV7FC%2Fref%3Dsr_1_66_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080927%26sr%3D8-66-spons%26psc%3D1&qualifier=1646080927&id=8381932546244275&widgetName=sp_atf_next
"Rugged Smartphone Unlocked, Ulefone Armor X6 (2020) IP68 Waterproof Cell Phone, 5.0 inch, Android 9.0 2GB+16GB, 4000mAh Battery, Global 3G Dual SIM, LED Light, Face ID Compass+GPS Shockproof (Orange)",$99.99,Ulefone,AT&T,Ulefone,Smartphone,16 GB,Android 9.0,Orange,3G,Dual SIM,2020.0,,Ulefone Store,https://www.amazon.com/stores/UlefonePhone/page/61DDA142-C23C-4CF9-8ADA-4BBB6B775310?ref_=ast_bln,https://www.amazon.com//Smartphone-Ulefone-Armor-X6-Waterproof/dp/B082MGGCBC/ref=sr_1_67?keywords=used+phones&qid=1646080927&sr=8-67
"SAMSUNG Galaxy Z Flip 3 5G Factory Unlocked Android Cell Phone US Version Smartphone Flex Mode Intuitive Camera Compact 128GB Storage US Warranty, Phantom Black (Renewed)",$684.00,Z Flip 3 5G,Unlocked,Samsung Electronics,Flip,8 GB,Android,Phantom Black,5G,Single SIM,2021.0,,zon Renewed,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Galaxy-Unlocked-Smartphone-Intuitive-Warranty/dp/B09GBLFSB2/ref=sr_1_68?keywords=used+phones&qid=1646080927&sr=8-68
"5.45 inch Smartphone, HD Full Screen Unlocked Cell Phones, for Android 6.0 Face Fingerprint Smart Phone, 1GB/8GB, HD Camera Mobil Phone, 2200mAh Battery, 128GB Extension (Blue)",$75.59,US,Unlocked for All Carriers,Hilitand,Smartphone,8 GB,Android 6.0,Blue,3G,,,"Phone Case, Screen Protector",Hilitand Store,https://www.amazon.com/stores/Hilitand/page/9CC13A8B-92CF-404A-B7C7-23610F50376E?ref_=ast_bln,https://www.amazon.com//Smartphone-Unlocked-Android-Fingerprint-Extension/dp/B08Z79BLCJ/ref=sr_1_69?keywords=used+phones&qid=1646080927&sr=8-69
"Unlocked Smartphones, Blackview A80 Plus, Dual sim Unlocked Cell Phones, Bundle Android 10 OS 4GB+64GB ROM, 6.5"" HD+, Fingerprint Face Detection, 4680mAh Capacity Battery, 4G tmobile Android Phone",$139.99,Scusa80plusblack,T-Mobile,Blackview,Smartphone,64 GB,Android 10.0,A80Plus-Black,4G,Dual SIM,2021.0,,Blackview Store,https://www.amazon.com/stores/Blackview/page/DB55EAAF-0A66-49A7-8F07-A2A0A47C9248?ref_=ast_bln,https://www.amazon.com//Unlocked-Smartphones-Blackview-Fingerprint-Detection/dp/B0932Z6126/ref=sr_1_70?keywords=used+phones&qid=1646080927&sr=8-70
"total wireless Motorola Moto g Stylus, 128GB, Blue - Prepaid Smartphone (Locked)",$179.00,Moto g Stylus,Total Wireless,Total Wireless,Bar,128 GB,Android,Blue,LTE,,2021.0,"Phone, Charger, Manual, SIM",total wireless Store,https://www.amazon.com/stores/TotalWireless/page/1CB433C8-8500-4936-9851-91FDC7B0F6A5?ref_=ast_bln,https://www.amazon.com//total-wireless-Motorola-Stylus-128GB/dp/B09CLMKVZZ/ref=sr_1_71?keywords=used+phones&qid=1646080927&sr=8-71
"Apple iPhone 12 Pro Max, 256GB, Gold - Unlocked (Renewed Premium)","$1,049.00",IPhone 12 Pro Max,Unlocked,Apple,Smartphone,256 GB,IOS 12,Gold,LTE,,,"SIM Tray Ejector, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-12-Pro-Max/dp/B09JF3TGRV/ref=sr_1_72?keywords=used+phones&qid=1646080927&sr=8-72
"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",$291.99,IPhone SE2,Unlocked,Apple,Smartphone,64 GB,IOS,Black,4G,Single SIM,2020.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-SE-64GB-Black/dp/B088NQXD8T/ref=sr_1_73?keywords=used+phones&qid=1646080927&sr=8-73
"Kudoo Unlocked Cell Phones IP12 PRO+ Unlocked Smartphone Dual SIM 6.26inch Waterdrop Screen Quad-Core Android Smart Phone 1GB RAM + 8GB ROM | 2MP + 5MP | Fingerprint Lock & Face ID,GPS,WIFI(Black)",$107.79,,Unlocked,Kudoo,Smartphone,8 GB,Android 5.1,Black,3G,Dual SIM,,Earphone,oo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Kudoo,https://www.amazon.com//Unlocked-Smartphone-Waterdrop-Quad-Core-Fingerprint/dp/B08XTN9JZV/ref=sr_1_74?keywords=used+phones&qid=1646080927&sr=8-74
"6.26inch IPS Full-Screen, A15spro Android Smartphone,3GWCDMA: 850/2100MHZ SIM Card Band, Front and Rear Cameras,1GB RAM 16GB ROM,Unlocked Cell Phone(Purple)",$64.99,A15Spro,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Purple,WCDMA,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01072721ZORCN5YKF8I0&url=%2F6-26inch-Full-Screen-A15spro-Android-Smartphone%2Fdp%2FB09BC9B9FB%2Fref%3Dsr_1_75_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080927%26sr%3D8-75-spons%26psc%3D1&qualifier=1646080927&id=8381932546244275&widgetName=sp_mtf
"i12 Pro MAX Unlocked Smartphone, 6.26in HD Screen Mobile Phone, 1+8G Dual Sim Cell Phone for Android 8.1 Black(US)",$118.00,,Verizon,Dilwe1,Smartphone,8 GB,Android 8.1,Black,3G,Dual SIM,,"Earphone, Screen Protector, USB Cable",we1,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Dilwe1,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A05249752SIARUAX9CNAR&url=%2FUnlocked-Smartphone-Screen-Support-Android%2Fdp%2FB08RZ43CYV%2Fref%3Dsr_1_76_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080927%26sr%3D8-76-spons%26psc%3D1&qualifier=1646080927&id=8381932546244275&widgetName=sp_mtf
"OUKITEL C21 Unlocked Cell Phone,Android 10 6.4 Inch Screen 4G Dual SIM Smartphone,20MP Front+16MP Four Rear Cameras,4GB+64GB 4000mAh Battery T-Mobile Metro PCS Straight Talk Mobile Phones,Blue",$159.99,C21,Unlocked for All Carriers,OUKITEL,Smartphone,64 GB,Android,Blue,4G,Dual SIM,2021.0,,ITEL,https://www.amazon.com/OUKITEL/b/ref=bl_dp_s_web_18105886011?ie=UTF8&node=18105886011&field-lbr_brands_browse-bin=OUKITEL,https://www.amazon.com//OUKITEL-C21-Unlocked-Smartphone-T-Mobile/dp/B0963Q95GR/ref=sr_1_77?keywords=used+phones&qid=1646080927&sr=8-77
OnePlus 8T+ 5G 12GB(RAM)+256GB 120Hz Display (T-Mobile / Sprint Unlocked) KB2007 Single SIM Smartphone - Lunar Silver (Renewed),$380.00,OnePlus 8T+ 5G,Unlocked,OnePlus,Smartphone,256 GB,Android 11,Lunar Silver,5G,Single SIM,,"Adapter, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//OnePlus-8T-5G-KB2007-Smartphone/dp/B08PDN4C33/ref=sr_1_78?keywords=used+phones&qid=1646080927&sr=8-78
"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",$989.00,IPhone 12 Pro Max,Unlocked,Apple,Smartphone,128 GB,IOS 12,Gold,LTE,,,"SIM Tray Ejector, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-12-Pro-Max/dp/B09JFP32Y5/ref=sr_1_79?keywords=used+phones&qid=1646080927&sr=8-79
"LG Velvet 5G G900UM 128GB AT&T GSM Unlocked Phone 6.8"" - NO CDMA (Silver)",$259.96,,T-Mobile,LG,,6 GB,,Aurora Silver,"4G, 3G, 2G",Single SIM,,,LG Store,https://www.amazon.com/stores/LGElectronicsSTG/page/E8585304-4D77-4965-9D22-B5F2CF409E38?ref_=ast_bln,https://www.amazon.com//LG-Velvet-G900UM-128GB-Unlocked/dp/B08TQKMB5Q/ref=sr_1_80?keywords=used+phones&qid=1646080927&sr=8-80
Samsung Galaxy S9 G960U 64GB - Unlocked Purple (Renewed),$166.00,Samsung,Unlocked for All Carriers,Samsung Electronics,Smartphone,64 GB,Android,Lilac Purple,4G,Single SIM,,"Adapter, USB Cable",zon Renewed,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-S9-G960U-64GB/dp/B09K4JL3H6/ref=sr_1_81?keywords=used+phones&qid=1646080927&sr=8-81
"Apple iPhone 12 Pro Max, 512GB, Graphite - Unlocked (Renewed Premium)","$1,149.00",IPhone 12 Pro Max,Unlocked,Apple,Smartphone,512 GB,IOS 12,Graphite,LTE,,,"SIM Tray Ejector, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-12-Pro-Max/dp/B09JFQ9G5Z/ref=sr_1_82?keywords=used+phones&qid=1646080927&sr=8-82
"Apple iPhone 12 Pro Max, 256GB, Pacific Blue - Unlocked (Renewed Premium)","$1,049.00",IPhone 12 Pro Max,Unlocked,Apple,Smartphone,256 GB,IOS 12,Pacific Blue,LTE,,,"SIM Tray Ejector, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-12-Pro-Max/dp/B09JFFG8D7/ref=sr_1_83?keywords=used+phones&qid=1646080927&sr=8-83
"Apple iPhone 12 Pro Max, 512GB, Pacific Blue - Unlocked (Renewed Premium)","$1,099.00",IPhone 12 Pro Max,Unlocked,Apple,Smartphone,512 GB,IOS 12,Pacific Blue,LTE,,,"SIM Tray Ejector, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-12-Pro-Max/dp/B09JFGT21S/ref=sr_1_84?keywords=used+phones&qid=1646080927&sr=8-84
"Smartphone,5.45in HD Full Screen Dual Card Dual Standby Mobile Phone,Face Recognition and Fingerprint Unlocking,Light and Fashion",$74.29,Rino4 Pro,Unlocked for All Carriers,FOLOSAFENAR,Smartphone,128 GB,Android 6.0,Black,3G,,,Earphone,FOLOSAFENAR Store,https://www.amazon.com/stores/DAUERHAFT/page/F8CC952B-E00D-477B-8649-7BA58A68F48F?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_1?ie=UTF8&adId=A05964051BKY8VQ2FTY9N&url=%2FSmartphone-Standby-Recognition-Fingerprint-Unlocking%2Fdp%2FB08YF79XVT%2Fref%3Dsr_1_85_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080927%26sr%3D8-85-spons%26psc%3D1%26smid%3DA35CNG2PJ4JOX5&qualifier=1646080927&id=8381932546244275&widgetName=sp_btf
"Unlocked Cell Phones, s10pro-s20pro+ 3G (WCDMA:850/2100MHZ) Android Smartphone, 6.26inch IPS Full-Screen, 3G Dual SIM,2GB RAM 16GB ROM, MTK Quad Core (Black)",$68.88,,T-Mobile,Attila,Smartphone,16 GB,,Black,3G,Dual SIM,,,ila,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=attila,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_1?ie=UTF8&adId=A04966621D7HIVOUVKY88&url=%2FUnlocked-Cell-Phones-s10pro-WCDMA%2Fdp%2FB07SZSXNBB%2Fref%3Dsr_1_86_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080927%26sr%3D8-86-spons%26psc%3D1&qualifier=1646080927&id=8381932546244275&widgetName=sp_btf
"Unlocked Cell Phone, W8 Android Smartphone, 5.75-inch IPS Full-Screen，1GB RAM 8GB ROM，Front and Rear Cameras，Only Supports The SIM Card Frequency Band of 3GWCDMA (850/2100MHZ) red",$58.99,W8,Unlocked for All Carriers,Aderroo,Smartphone,8 GB,Android,Red,WCDMA,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg6_1?ie=UTF8&adId=A01896472POXWVXH2U5J4&url=%2FW8-Smartphone-5-75-inch-Full-Screen%25EF%25BC%258C1GB-Cameras%25EF%25BC%258COnly%2Fdp%2FB09FF1K17Q%2Fref%3Dsr_1_81_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080930%26sr%3D8-81-spons%26psc%3D1&qualifier=1646080930&id=8973407015023863&widgetName=sp_atf_next
"Unlocked Cell Phone, P5 -F17pro Android Smartphone, 5.75-inch IPS Full-Screen，1GB RAM 8GB ROM，Front and Rear Cameras，Only Supports The SIM Card Frequency Band of 3GWCDMA (850/2100MHZ) (red)",$59.99,,T-Mobile,Aderroo,Smartphone,8 GB,Android,,"3G, 2G",,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg6_1?ie=UTF8&adId=A04795952MCQE5G8FFIA4&url=%2FSmartphone-5-75-inch-Full-Screen%25EF%25BC%258C1GB-ROM%25EF%25BC%258CFront-Cameras%25EF%25BC%258COnly%2Fdp%2FB091TB47KF%2Fref%3Dsr_1_82_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080930%26sr%3D8-82-spons%26psc%3D1&qualifier=1646080930&id=8973407015023863&widgetName=sp_atf_next
Samsung TracFone Galaxy A21 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$137.94,Galaxy A21,Tracfone,Samsung Electronics,Smartphone,32 GB,Android,Black,LTE,,,"Phone, SIM, Charger",Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//TracFone-Samsung-Galaxy-Prepaid-Smartphone/dp/B08J5K993Y/ref=sr_1_83?keywords=used+phones&qid=1646080930&sr=8-83
Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,,Galaxy S7,Verizon,Samsung Electronics,Smartphone,32 GB,Android,Gold,4G,,,Samsung Galaxy S7;Pre-Installed SIM Card;Wall Charger;USB Cable,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-Unlocked-Verizon-Wireless/dp/B01CJ3SCJ6/ref=sr_1_84?keywords=used+phones&qid=1646080930&sr=8-84
"6.8 Inch Unlocked Smartphones,Xgody K30 Android 10.0 Cell Phone Cheap,Dual Sim Free Phones,Dual 5MP + 64GB Storage(Purple)",$85.99,K30,AT&T,Xgody,Smartphone,8 GB,Android 10.0,Purple,"3G, 2G",Dual SIM,,"Adapter, USB Cable",Xgody Store,https://www.amazon.com/stores/Xgody/page/F8090749-375F-4C7D-8091-9D026278B221?ref_=ast_bln,https://www.amazon.com//Unlocked-Smartphones-Xgody-K30-Android/dp/B08FT1NWGR/ref=sr_1_85?keywords=used+phones&qid=1646080930&sr=8-85
"(Renewed) Apple iPhone XR, 64GB, Coral - Unlocked",$349.00,IPhone XR,Unlocked,Apple,Smartphone,64 GB,IOS,Coral,3G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-XR-Fully-Unlocked/dp/B07P9765VS/ref=sr_1_86?keywords=used+phones&qid=1646080930&sr=8-86
"(Renewed) Apple iPhone 8 Plus, US Version, 64GB, Gold - Unlocked",$319.99,IPhone 8 Plus,Unlocked,Apple,Smartphone,64 GB,IOS,Gold,3G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-Plus-Fully-Unlocked/dp/B07757LZ1J/ref=sr_1_87?keywords=used+phones&qid=1646080930&sr=8-87
OnePlus 6T A6013 128GB Mirror Black - US Version T-Mobile GSM Unlocked Phone (Renewed),$188.00,OnePlus 6T,T-Mobile,OnePlus,Smartphone,128 GB,OxygenOS,Black,2G,Single SIM,,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//OnePlus-A6013-128GB-Mirror-Black/dp/B07V3TL48P/ref=sr_1_88?keywords=used+phones&qid=1646080930&sr=8-88
Samsung Galaxy S20 FE G780G 4G Dual 128GB 8GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) International Version - Cloud Navy,$484.50,,Unlocked for All Carriers,Samsung Electronics,Slate,128 GB,Android 10.0,Cloud Navy,4G,Dual SIM,2020.0,USB Cable,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-G780G-Factory-Unlocked/dp/B0936P32GN/ref=sr_1_89?keywords=used+phones&qid=1646080930&sr=8-89
Tracfone Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,,Galaxy A10e,Tracfone,Samsung Electronics,Smartphone,32 GB,Android,Black,LTE,,,"Phone, Charger, Manual",Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Tracfone-Samsung-Galaxy-Prepaid-Smartphone/dp/B07Y5R57FS/ref=sr_1_90?keywords=used+phones&qid=1646080930&sr=8-90
"6.26inch IPS Full-Screen, A15spro Android Smartphone,3GWCDMA: 850/2100MHZ SIM Card Band, Front and Rear Cameras,1GB RAM 16GB ROM,Unlocked Cell Phone(Blue)",$64.99,A15Spro,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Blue,WCDMA,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A01073721GZ4L9HPFV2O9&url=%2F6-26inch-Full-Screen-A15spro-Android-Smartphone%2Fdp%2FB09BCCCCRC%2Fref%3Dsr_1_91_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080930%26sr%3D8-91-spons%26psc%3D1&qualifier=1646080930&id=8973407015023863&widgetName=sp_mtf
"TCL 20 SE 6.82"" Unlocked Cellphone, 4GB RAM + 128GB ROM, US Version Android 11 Smartphone with 48MP Rear AI Quad-Camera, 5000mAh Big Battery, Dual Speaker, OTG Reverse Charging, Octa-Core, Nuit Black",$189.99,TCL 20 SE,AT&T,TCL,Smartphone,128 GB,Android 11,Nuit Black,4G,Single SIM,2021.0,,TCL Store,https://www.amazon.com/stores/TCL/page/0BC8946D-897E-41F0-837E-F776CEDFD8B3?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A03149792CW7Y45RQ10Q9&url=%2FTCL-Cellphone-Smartphone-Quad-Camera-Octa-Core%2Fdp%2FB09495Q1H7%2Fref%3Dsr_1_92_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080930%26sr%3D8-92-spons%26psc%3D1&qualifier=1646080930&id=8973407015023863&widgetName=sp_mtf
"Latest Android 11 Phone, Ulefone Note 6 Unlocked Smartphone, 6.1” HD+ Full Screen, Quad-core 1GB+32GB Mobile Phone, 3300mAh Battery, Face Unlock, AI Camera 5MP+2MP Cell Phones- Purple",$86.99,Ulefone Purple Cell Phone -Note 6,T-Mobile,Ulefone,Smartphone,32 GB,Android 11,Purple,,,,,Ulefone Store,https://www.amazon.com/stores/UlefonePhone/page/61DDA142-C23C-4CF9-8ADA-4BBB6B775310?ref_=ast_bln,https://www.amazon.com//Android-Ulefone-Unlocked-Smartphone-Quad-core/dp/B09KBVJJ4Z/ref=sr_1_93?keywords=used+phones&qid=1646080930&sr=8-93
Samsung Galaxy S10 Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | Prism Black (SM-G973U1ZKAX),$999.99,S10,Unlocked,Samsung Electronics,Smartphone,128 GB,Android 9.0,Black,LTE,,2019.0,PLACEHOLDER,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-Factory-Unlocked-Phone/dp/B07N4M412B/ref=sr_1_94?keywords=used+phones&qid=1646080930&sr=8-94
"OnePlus 9 Winter Mist, 5G Unlocked Android Smartphone U.S Version, 8GB RAM+128GB Storage, 120Hz Fluid Display, Hasselblad Triple Camera, 65W Ultra Fast Charge, 15W Wireless Charge, with Alexa Built-in",$599.99,OP9,Unlocked,OnePlus,Bar,128 GB,Android 11,Winter Mist,5G,Dual SIM,2021.0,,OnePlus Store,https://www.amazon.com/stores/OnePlus/page/DE8A8620-9A54-4832-96B0-3284E24E9A3A?ref_=ast_bln,https://www.amazon.com//OnePlus-Unlocked-Smartphone-Hasselblad-Wireless/dp/B08Y727NMK/ref=sr_1_95?keywords=used+phones&qid=1646080930&sr=8-95
"TCL 20S Unlocked Android Smartphone with 6.67” Dotch FHD+ Display, 64MP Quad Rear Camera System, 128GB+4GB RAM, 5000mAh Battery with Fast Charging, North Star Blue",$249.99,TCL 20S,Unlocked for All Carriers,TCL,Smartphone,128 GB,Android 11,North Star Blue,4G,,,Adapter,TCL Store,https://www.amazon.com/stores/TCL/page/0BC8946D-897E-41F0-837E-F776CEDFD8B3?ref_=ast_bln,https://www.amazon.com//TCL-Unlocked-Android-Smartphone-Charging/dp/B095KG7NVY/ref=sr_1_96?keywords=used+phones&qid=1646080930&sr=8-96
Smallest Mobile Phone L8Star BM70 Tiny Mini Mobile White Unlocked,$24.99,BM70-W,T-Mobile,Hipipooo,Slider,,,White,2G,,,USB Cable,ipooo,https://www.amazon.com/Hipipooo/b/ref=bl_dp_s_web_12586496011?ie=UTF8&node=12586496011&field-lbr_brands_browse-bin=Hipipooo,https://www.amazon.com//Smallest-Mobile-Phone-L8Star-Unlocked/dp/B097XTKYST/ref=sr_1_97?keywords=used+phones&qid=1646080930&sr=8-97
"Samsung Galaxy S10+ Plus (128GB, 8GB) 6.4"" AMOLED, Snapdragon 855, IP68 Water Resistant, Global 4G LTE (GSM + CDMA) T-Mobile Unlocked (AT&T, Verizon, Sprint, Metro) G975U (Prism Black)",$463.99,,T-Mobile,Samsung Electronics,Slate,128 GB,,Prism Black,"4G, 3G, 2G",Single SIM,,,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Snapdragon-Resistant-T-Mobile-Unlocked/dp/B08G5D9N9P/ref=sr_1_98?keywords=used+phones&qid=1646080930&sr=8-98
"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",,Galaxy S7,Unlocked,Samsung Electronics,Smartphone,32 GB,Android 6.0,Black Onyx,4G,,,,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-SM-G930A-Unlocked-Smartphone/dp/B01CYYYRNK/ref=sr_1_99?keywords=used+phones&qid=1646080930&sr=8-99
